Project;CommitID;Developer;Title;Summary;IssueKey;IssueType;CreatedDate;ResolvedDate;PatternChanges
Hadoop HDFS;bbcfef4aa1885e054cb60eb0053d9cf9f9d1db32;Boris Shkolnik;[HDFS-1163] normalize property names for JT/NN kerberos principal names in configuration (from HADOOP 6633);normalize property names for JT/NN kerberos principal names in configuration (from HADOOP 6633);HDFS-1163;Bug;Tue- 18 May 2010 23:57:07 +0000;Sat- 3 Jul 2010 02:02:16 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;32af1b3779d4a035a9976c32c9414d9d8fdb48b2;Hairong Kuang;[HDFS-1112] Edit log buffer should not grow unboundedly;Edit log buffer should not grow unboundedly;HDFS-1112;Bug;Tue- 27 Apr 2010 20:32:51 +0000;Fri- 21 May 2010 18:12:32 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;02f08ba7079e2e418482ddd4504c096cc453ace4;Jitendra Nath Pandey;[HDFS-1038] In nn_browsedfscontent.jsp fetch delegation token only if security is enabled.;In nn_browsedfscontent.jsp fetch delegation token only if security is enabled.;HDFS-1038;Bug;Fri- 12 Mar 2010 01:31:48 +0000;Mon- 24 May 2010 22:25:22 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;620186cbbc6a8e5cd020d2ea9bed71bfb626c480;Jitendra Nath Pandey;[HDFS-1146] Javadoc for getDelegationTokenSecretManager in FSNamesystem;Javadoc for getDelegationTokenSecretManager in FSNamesystem;HDFS-1146;Bug;Tue- 11 May 2010 20:29:05 +0000;Wed- 2 Jun 2010 21:53:49 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;c7fd9280ba197722f9e2d1fb7175c65633121733;Jeff Ames;[HDFS-1183] Remove some duplicate code in NamenodeJspHelper.java;Remove some duplicate code in NamenodeJspHelper.java;HDFS-1183;Improvement;Thu- 3 Jun 2010 05:21:04 +0000;Fri- 4 Jun 2010 20:20:53 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;4177b73978c04c8e51316a2263e53ccf71d8e903;Jeff Ames;[HDFS-1190] Remove unused getNamenode() method from DataNode.;Remove unused getNamenode() method from DataNode.;HDFS-1190;Improvement;Mon- 7 Jun 2010 07:41:37 +0000;Wed- 9 Jun 2010 21:48:42 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;1700a788ffd5368f4708ec1b342460df99d0ba56;Suresh Srinivas;[HDFS-1110] Namenode heap optimization - reuse objects for commonly used file names;Namenode heap optimization - reuse objects for commonly used file names;HDFS-1110;Improvement;Mon- 26 Apr 2010 18:42:32 +0000;Fri- 11 Jun 2010 18:16:12 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;8e4290091bbf9d4dfb01406d08987b5bffc15ad7;Tsz-wo Sze;[HDFS-1114] Reducing NameNode memory usage by an alternate hash table;Reducing NameNode memory usage by an alternate hash table;HDFS-1114;Improvement;Wed- 28 Apr 2010 08:13:35 +0000;Thu- 17 Jun 2010 21:58:25 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;909f555eb1d2aea34ae2c100517da43443aab9cb;Dmytro Molkov;[HDFS-599] Improve Namenode robustness by prioritizing datanode heartbeats over client requests;Improve Namenode robustness by prioritizing datanode heartbeats over client requests;HDFS-599;Improvement;Sat- 5 Sep 2009 07:46:53 +0000;Fri- 18 Jun 2010 22:50:22 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;dc96e2286cee2501b4e8a8820a030f500bfeaa2f;Jakob Homan;[HDFS-462] Unit tests not working under Windows;Unit tests not working under Windows;HDFS-462;Bug;Mon- 6 Jul 2009 17:51:08 +0000;Mon- 13 Jul 2009 23:46:23 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;b010deca84339d6b6bf863b46af41aa241064ca6;Jitendra Nath Pandey;[HDFS-443] New metrics in namenode to capture lost heartbeats.;New metrics in namenode to capture lost heartbeats.;HDFS-443;Improvement;Tue- 23 Jun 2009 18:25:45 +0000;Tue- 14 Jul 2009 18:40:32 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;8908133ce32d45edaab93ca46263a60e64f28cc2;Tsz-wo Sze;[HDFS-501] Use enum to define the constants in DataTransferProtocol;Use enum to define the constants in DataTransferProtocol;HDFS-501;Sub-task;Thu- 23 Jul 2009 20:26:40 +0000;Mon- 27 Jul 2009 17:51:12 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;cbe2a069e38ec4ffcb7f7735eb0345bab07ec9a2;He Yongqiang;[HDFS-490] eliminate the usage of FileSystem.create( ) depracated by Hadoop-5438 ;eliminate the usage of FileSystem.create( ) depracated by Hadoop-5438 ;HDFS-490;Improvement;Wed- 15 Jul 2009 13:13:12 +0000;Tue- 28 Jul 2009 18:19:31 +0000;1 instances of the Mediator Pattern were REMOVED
